schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,min_minutes_after_rth_open,max_minutes_after_rth_open,max_risk_to_average_bar_range,max_runner_target_to_average_bar_range,min_signal_abs_delta_sum_to_average_abs_delta,max_signal_abs_delta_sum_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,min_continuation_edge_score,min_opening_range_continuation_edge_score,min_directional_opening_range_breakout_points,min_lookback_efficiency_ratio,max_lookback_choppiness_score,min_entry_volume_to_session_average_volume,min_lookback_volume_to_session_average_volume,input_context_rows,evaluated_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unfiltered_net_usd,participation_rate,filter_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=21:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,39,13,10,2,1,0,10,0.76923077,3509,269.92307692,99.68000456,-8373,0.33333333,11882,5,8,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=21:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,12,3,1,1,1,0,1,0.33333333,-771,-257,-646.44404818,-384,0.25,-387,1,2,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=23:train_dates=8:holdout_dates=2,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,43,14,10,2,2,0,10,0.71428571,3202,228.71428571,65.72025087,-6001,0.3255814,9203,6,8,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=23:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-15,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,12,2,1,1,0,0,1,0.5,-464,-232,-815.36309448,-384,0.16666667,-80,1,1,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=25:train_dates=8:holdout_dates=2,train,true,2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,8,4,0,20,0,1,0,0,-999999,0,1,0,0,48,16,12,2,2,0,12,0.75,4388,274.25,128.48457682,-636,0.33333333,5024,7,9,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=25:train_dates=8:holdout_dates=2,holdout,true,2026-06-16;2026-06-17,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,8,4,0,20,0,1,0,0,-999999,0,1,0,0,12,4,3,1,0,0,3,0.75,722,180.5,-176.73547906,-384,0.33333333,1106,0,4,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=27:train_dates=8:holdout_dates=2,train,true,2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,48,15,10,3,2,0,10,0.66666667,2145,143,-30.20508076,-4836,0.3125,6981,4,11,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=27:train_dates=8:holdout_dates=2,holdout,true,2026-06-18;2026-06-19,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,0,180,4,4,0,20,0,1,0,0,-999999,0,1,0,0,12,1,1,0,0,0,1,1,593,593,593,-784,0.08333333,1377,1,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=29:train_dates=8:holdout_dates=2,train,true,2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,48,23,15,5,2,1,15,0.65217391,2189,95.17391304,-52.21925935,-1936,0.47916667,4125,23,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=29:train_dates=8:holdout_dates=2,holdout,true,2026-06-22;2026-06-23,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,12,1,1,0,0,0,1,1,593,593,593,366,0.08333333,227,1,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=31:train_dates=8:holdout_dates=2,train,true,2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19;2026-06-22;2026-06-23,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,48,22,15,4,2,1,15,0.68181818,3246,147.54545455,3.05614688,-1186,0.45833333,4432,22,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=31:train_dates=8:holdout_dates=2,holdout,true,2026-06-24;2026-06-25,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,long,0,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,12,6,5,0,1,0,5,0.83333333,2658,443,306.06936062,2016,0.5,642,6,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
