schema_version,regime_id,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,minutes_after_rth_open,risk_points,target_distance_points,original_reward_risk,sweep_abs_delta,session_open_price,entry_close_price,entry_vwap,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,fade_edge_score,direction_aware_vwap_stretch_points,direction_aware_open_stretch_points,opening_range_high,opening_range_low,opening_range_points,opening_range_edge_score,direction_aware_outside_opening_range_points,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246:quality,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246,liquidity_sweep_absorption_reversal_ESU26-CME_2243,ESU26-CME,short,2026-06-01  11:31:21,2243,121,4.25,7.875,1.85294118,8,7645.25,7657,7650.58,7662.5,7640,22.5,0.75555556,0.75555556,6.42,11.75,7658.25,7640,18.25,0.93150685,0,stop_hit,-241,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032,liquidity_sweep_absorption_reversal_ESU26-CME_3013,ESU26-CME,long,2026-06-03  12:57:17,3013,207,5.25,18.375,3.5,13,7671.5,7638.25,7645.97,7677,7625,52,0.25480769,0.74519231,7.72,33.25,7677,7636.25,40.75,0.95092025,0,stop_hit,-291,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357,liquidity_sweep_absorption_reversal_ESU26-CME_3355,ESU26-CME,short,2026-06-04  10:32:05,3355,62,2.5,10.5,4.2,1,7609.75,7626.75,7619.63,7633.5,7605,28.5,0.76315789,0.76315789,7.12,17,7627.5,7605,22.5,0.96666667,0,stop_hit,-153.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393,liquidity_sweep_absorption_reversal_ESU26-CME_5390,ESU26-CME,short,2026-06-08  11:18:08,5390,108,4.25,18.25,4.29411765,2,7518.75,7529.5,7515.14,7539,7490.75,48.25,0.80310881,0.80310881,14.36,10.75,7531,7491.5,39.5,0.96202532,0,stop_hit,-241,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666,liquidity_sweep_absorption_reversal_ESU26-CME_5659,ESU26-CME,long,2026-06-08  13:15:04,5659,225,7.5,15.75,2.1,2,7518.75,7495.5,7512.82,7539,7485,54,0.19444444,0.80555556,17.32,23.25,7531,7491.5,39.5,0.89873418,0,stop_hit,-403.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517:quality,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517,liquidity_sweep_absorption_reversal_ESU26-CME_11477,ESU26-CME,short,2026-06-10  10:30:57,11477,60,2.5,26.625,10.65,5,7415.75,7451.25,7437.51,7466.25,7396.75,69.5,0.78417266,0.78417266,13.74,35.5,7452.5,7396.75,55.75,0.97757848,0,stop_hit,-153.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009:quality,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009,liquidity_sweep_absorption_reversal_ESU26-CME_12007,ESU26-CME,long,2026-06-10  11:10:45,12007,100,2,27.125,13.5625,6,7415.75,7397.5,7434.04,7466.25,7395.75,70.5,0.0248227,0.9751773,36.54,18.25,7452.5,7396.75,55.75,0.98654709,0,stop_hit,-128.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766:quality,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766,liquidity_sweep_absorption_reversal_ESU26-CME_16761,ESU26-CME,long,2026-06-11  10:58:10,16761,88,3.5,25.875,7.39285714,4,7369.25,7344.75,7367.24,7397.25,7337,60.25,0.12863071,0.87136929,22.49,24.5,7397,7344.25,52.75,0.99052133,0,stop_hit,-203.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070:quality,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070,liquidity_sweep_absorption_reversal_ESU26-CME_19000,ESU26-CME,short,2026-06-11  13:29:26,19000,239,4.75,25.125,5.28947368,37,7369.25,7395.75,7361.6,7400.25,7323.75,76.5,0.94117647,0.94117647,34.15,26.5,7397,7344.25,52.75,0.97630332,0,stop_hit,-266,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701:quality,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701,liquidity_sweep_absorption_reversal_ESU26-CME_24697,ESU26-CME,short,2026-06-12  10:54:39,24697,84,3.5,28.5,8.14285714,9,7486,7487.25,7463.83,7493.5,7429,64.5,0.90310078,0.90310078,23.42,1.25,7488.5,7429,59.5,0.9789916,0,stop_hit,-203.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027:quality,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027,liquidity_sweep_absorption_reversal_ESU26-CME_32971,ESU26-CME,long,2026-06-17  10:42:16,32971,72,2,9.25,4.625,10,7595.75,7581.25,7590.33,7604.25,7574,30.25,0.23966942,0.76033058,9.08,14.5,7600.25,7580.75,19.5,0.97435897,0,stop_hit,-128.5,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909:quality,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909,liquidity_sweep_absorption_reversal_ESU26-CME_42907,ESU26-CME,short,2026-06-19  10:46:47,42907,76,1.75,3.25,1.85714286,31,7559,7563,7559.42,7564.5,7553.5,11,0.86363636,0.86363636,3.58,4,7563.25,7556.25,7,0.96428571,0,stop_hit,-116,pre-entry auction regime diagnostic from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046:quality:auction_regime,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046:quality,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046,liquidity_sweep_absorption_reversal_ESU26-CME_43034,ESU26-CME,long,2026-06-19  12:59:30,43034,209,2.75,2.75,1,26,7559,7557,7561.22,7568.5,7553.5,15,0.23333333,0.76666667,4.22,2,7563.25,7556.25,7,0.89285714,0,stop_hit,-166,pre-entry auction regime diagnostic from orderflow bar export
