schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,sweep_bar_index,sweep_extreme_price,zone_low_price,zone_high_price,zone_levels,zone_bid_volume,zone_ask_volume,zone_delta,zone_aggression_ratio,extreme_bid_volume,extreme_ask_volume,extreme_delta,extreme_aggression_ratio,level_absorption_pass,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_3013:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032,liquidity_sweep_absorption_reversal_ESU26-CME_3013,ESU26-CME,long,2026-06-03  12:57:17,3013,3008,7633.25,7633.25,7634.25,5,25,12,-13,2.08333333,22,0,-22,inf,true,stop_hit,-291,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_3355:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357,liquidity_sweep_absorption_reversal_ESU26-CME_3355,ESU26-CME,short,2026-06-04  10:32:05,3355,3354,7629,7628,7629,3,2,3,1,1.5,1,1,0,1,true,stop_hit,-153.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_5390:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393,liquidity_sweep_absorption_reversal_ESU26-CME_5390,ESU26-CME,short,2026-06-08  11:18:08,5390,5388,7533.5,7532.5,7533.5,3,2,4,2,2,0,3,3,inf,true,stop_hit,-241,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_5659:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666,liquidity_sweep_absorption_reversal_ESU26-CME_5659,ESU26-CME,long,2026-06-08  13:15:04,5659,5655,7488.25,7488.25,7489.25,2,3,1,-2,3,1,0,-1,inf,true,stop_hit,-403.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_11477:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517,liquidity_sweep_absorption_reversal_ESU26-CME_11477,ESU26-CME,short,2026-06-10  10:30:57,11477,11476,7453.5,7452.5,7453.5,4,2,7,5,3.5,1,0,-1,0,true,stop_hit,-153.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_12007:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009,liquidity_sweep_absorption_reversal_ESU26-CME_12007,ESU26-CME,long,2026-06-10  11:10:45,12007,12005,7395.75,7395.75,7396.75,4,7,1,-6,7,5,0,-5,inf,true,stop_hit,-128.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_16761:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766,liquidity_sweep_absorption_reversal_ESU26-CME_16761,ESU26-CME,long,2026-06-11  10:58:10,16761,16756,7341.5,7341.5,7342.5,3,5,1,-4,5,3,0,-3,inf,true,stop_hit,-203.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_19000:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070,liquidity_sweep_absorption_reversal_ESU26-CME_19000,ESU26-CME,short,2026-06-11  13:29:26,19000,18995,7400.25,7399.25,7400.25,4,7,44,37,6.28571429,0,1,1,inf,true,stop_hit,-266,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_24697:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701,liquidity_sweep_absorption_reversal_ESU26-CME_24697,ESU26-CME,short,2026-06-12  10:54:39,24697,24693,7490.5,7489.5,7490.5,5,32,41,9,1.28125,2,8,6,4,true,stop_hit,-203.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_32971:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027,liquidity_sweep_absorption_reversal_ESU26-CME_32971,ESU26-CME,long,2026-06-17  10:42:16,32971,32970,7579.5,7579.5,7580.5,5,49,39,-10,1.25641026,7,0,-7,inf,true,stop_hit,-128.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_42907:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909,liquidity_sweep_absorption_reversal_ESU26-CME_42907,ESU26-CME,short,2026-06-19  10:46:47,42907,42906,7564.5,7563.5,7564.5,5,87,118,31,1.35632184,0,22,22,inf,true,stop_hit,-116,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
1,liquidity_sweep_absorption_reversal_ESU26-CME_43034:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046,liquidity_sweep_absorption_reversal_ESU26-CME_43034,ESU26-CME,long,2026-06-19  12:59:30,43034,43032,7554.5,7554.5,7555.5,5,54,28,-26,1.92857143,33,0,-33,inf,true,stop_hit,-166,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=0; vap_lookup=bar_index
