schema_version,outcome_id,event_key,signal_id,symbol,direction,entry_bar_index,exit_bar_index,entry_time,exit_time,entry_price,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,exit_reason,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes,in_news_blackout,matched_news_event_id,matched_news_event_time,matched_news_event_name,matched_news_event_currency,matched_news_event_impact,minutes_from_news_event,news_blackout_before_minutes,news_blackout_after_minutes,news_notes
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3990:runner_target_hit:3998,ESU26-CME:2:3990:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3990,ESU26-CME,long,3990,3998,2026-05-14  10:42:00,2026-5-14 11:06:00.000000,7573.75,7563.75,7578.75,7581.75,7578.75,7581.75,runner_target_hit,true,8,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3995:runner_target_hit:4000,ESU26-CME:2:3995:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3995,ESU26-CME,long,3995,4000,2026-05-14  10:57:00,2026-5-14 11:15:00.000000,7575.25,7565.25,7580.25,7583.25,7580.25,7583.25,runner_target_hit,true,5,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3999:runner_target_hit:4001,ESU26-CME:2:3999:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3999,ESU26-CME,long,3999,4001,2026-05-14  11:12:00,2026-5-14 11:18:00.000000,7581,7571,7586,7589,7586,7589,runner_target_hit,true,2,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4052:runner_target_hit:4063,ESU26-CME:2:4052:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4052,ESU26-CME,long,4052,4063,2026-05-14  14:09:00,2026-5-14 15:00:00.000000,7579.5,7569.5,7584.5,7587.5,7584.5,7587.5,runner_target_hit,true,11,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4098:full_stop_hit:4100,ESU26-CME:2:4098:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4098,ESU26-CME,long,4098,4100,2026-05-15  10:18:00,2026-5-15 10:24:00.000000,7521.75,7511.75,7526.75,7529.75,7511.75,7511.75,full_stop_hit,false,2,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4103:full_stop_hit:4107,ESU26-CME:2:4103:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4103,ESU26-CME,long,4103,4107,2026-05-15  10:33:00,2026-5-15 10:45:00.000000,7521.25,7511.25,7526.25,7529.25,7511.25,7511.25,full_stop_hit,false,4,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4288:full_stop_hit:4296,ESU26-CME:2:4288:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4288,ESU26-CME,long,4288,4296,2026-05-18  13:39:00,2026-5-18 14:06:00.000000,7466.25,7456.25,7471.25,7474.25,7456.25,7456.25,full_stop_hit,false,8,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4315:full_stop_hit:4320,ESU26-CME:2:4315:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4315,ESU26-CME,long,4315,4320,2026-05-18  15:09:00,2026-5-18 15:24:00.000000,7459.25,7449.25,7464.25,7467.25,7449.25,7449.25,full_stop_hit,false,5,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4320:runner_target_hit:4322,ESU26-CME:2:4320:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4320,ESU26-CME,long,4320,4322,2026-05-18  15:24:00,2026-5-18 15:30:00.000000,7448.5,7438.5,7453.5,7456.5,7453.5,7456.5,runner_target_hit,true,2,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4499:full_stop_hit:4502,ESU26-CME:2:4499:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4499,ESU26-CME,long,4499,4502,2026-05-20  11:18:00,2026-5-20 11:27:00.000000,7503.5,7493.5,7508.5,7511.5,7493.5,7493.5,full_stop_hit,false,3,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4505:runner_target_hit:4510,ESU26-CME:2:4505:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4505,ESU26-CME,long,4505,4510,2026-05-20  11:36:00,2026-5-20 11:51:00.000000,7497.5,7487.5,7502.5,7505.5,7502.5,7505.5,runner_target_hit,true,5,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4541:runner_target_hit:4545,ESU26-CME:2:4541:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4541,ESU26-CME,long,4541,4545,2026-05-20  13:24:00,2026-5-20 13:36:00.000000,7496.25,7486.25,7501.25,7504.25,7501.25,7504.25,runner_target_hit,true,4,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4546:runner_target_hit:4576,ESU26-CME:2:4546:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4546,ESU26-CME,long,4546,4576,2026-05-20  13:39:00,2026-5-20 15:36:00.000000,7501.5,7491.5,7506.5,7509.5,7506.5,7509.5,runner_target_hit,true,30,13,650,7,50,593,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4555:full_stop_hit:4576,ESU26-CME:2:4555:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4555,ESU26-CME,short,4555,4576,2026-05-20  14:09:00,2026-5-20 15:36:00.000000,7498.75,7508.75,7493.75,7490.75,7508.75,7508.75,full_stop_hit,false,21,-20,-1000,7,50,-1057,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4577:end_of_session:4587,ESU26-CME:2:4577:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_4577,ESU26-CME,long,4577,4587,2026-05-20  15:39:00,2026-5-20 16:12:00.000000,7510,7500,7515,7518,7505.25,7505.25,end_of_session,false,10,-9.5,-475,7,50,-532,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=8; runner_stop_mode=initial; slippage_ticks_per_contract=round_turn_default; entry_match_mode=bar_index,false,,,,,,,,,outside scheduled-news blackout windows
