schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-06-02;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,1.5,15,breakeven,33,33,33,18,15,4,11,0,0,15,0.45454545,1425,781.5,23.68181818,17,16,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-16,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,1.5,15,breakeven,5,5,5,4,1,0,1,0,0,1,0.2,-525,-622.5,-124.5,4,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,train,true,2026-05-28;2026-06-02;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,1.5,15,breakeven,37,37,37,21,16,4,12,0,0,16,0.43243243,1050,328.5,8.87837838,21,16,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,holdout,true,2026-06-17,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,1.5,15,breakeven,2,2,2,0,2,0,2,0,0,2,1,150,111,55.5,0,2,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,train,true,2026-06-02;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,4,15,breakeven,38,38,38,11,27,5,22,0,0,27,0.71052632,1375,634,16.68421053,20,18,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,holdout,true,2026-06-18,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,4,15,breakeven,6,6,6,1,5,0,5,0,0,5,0.83333333,-25,-142,-23.66666667,3,3,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,4,15,breakeven,43,43,43,11,32,5,27,0,0,32,0.74418605,1750,911.5,21.19767442,23,20,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,holdout,true,2026-06-19,signal_scaled_scalp:strategy=delta_absorption_fade_20d_cl0.35:direction=all:first_target_points=1.5:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,delta_absorption_fade_20d_cl0.35,all,1.5,4,15,breakeven,1,1,1,0,1,0,1,0,0,1,1,75,55.5,55.5,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=vwap_delta_exhaustion_fade_3pt_20d_cl0.5:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=15:runner_stop_mode=breakeven,vwap_delta_exhaustion_fade_3pt_20d_cl0.5,all,1.5,2,15,breakeven,52,52,52,15,37,6,31,0,0,37,0.71153846,4275,3261,62.71153846,36,16,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-19,signal_scaled_scalp:strategy=vwap_delta_exhaustion_fade_3pt_20d_cl0.5:direction=all:first_target_points=1.5:stop_points=2:runner_target_points=15:runner_stop_mode=breakeven,vwap_delta_exhaustion_fade_3pt_20d_cl0.5,all,1.5,2,15,breakeven,1,1,1,0,1,0,1,0,0,1,1,75,55.5,55.5,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,signal_scaled_scalp:strategy=vwap_delta_exhaustion_fade_4pt_30d_cl0.55:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,vwap_delta_exhaustion_fade_4pt_30d_cl0.55,all,1.5,1.5,15,breakeven,45,45,45,16,29,7,22,0,0,29,0.64444444,5025,4147.5,92.16666667,30,15,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-19,signal_scaled_scalp:strategy=vwap_delta_exhaustion_fade_4pt_30d_cl0.55:direction=all:first_target_points=1.5:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,vwap_delta_exhaustion_fade_4pt_30d_cl0.55,all,1.5,1.5,15,breakeven,1,1,1,1,0,0,0,0,0,0,0,-150,-169.5,-169.5,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
