schema_version,split_id,sample,selected_on_train,trade_dates,strategy_id,trade_date,sample_signal_occurrence,sample_duplicate_signal,signal_id,symbol,direction,entry_bar_index,entry_time,entry_price,selected_first_target_points,selected_stop_points,selected_runner_target_points,selected_runner_stop_mode,exit_reason,exit_bar_index,exit_time,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2731_long_0,ESU26-CME,long,2731,2025-12-2 10:33:00.000000,7010.25,5,10,10,initial,runner_target_hit,2733,2025-12-2 10:39:00.000000,7000.25,7015.25,7020.25,7015.25,7020.25,true,2,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-23,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-23_7526_long_5,ESU26-CME,long,7526,2026-1-23 13:33:00.000000,7053.75,5,10,10,initial,runner_target_hit,7537,2026-1-23 14:06:00.000000,7043.75,7058.75,7063.75,7058.75,7063.75,true,11,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-23,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-23_7532_long_6,ESU26-CME,long,7532,2026-1-23 13:51:00.000000,7053.5,5,10,10,initial,runner_target_hit,7537,2026-1-23 14:06:00.000000,7043.5,7058.5,7063.5,7058.5,7063.5,true,5,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-23,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-23_7540_short_7,ESU26-CME,short,7540,2026-1-23 14:15:00.000000,7062,5,10,10,initial,runner_target_hit,7558,2026-1-23 15:09:00.000000,7072,7057,7052,7057,7052,true,18,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-23,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-23_7550_short_8,ESU26-CME,short,7550,2026-1-23 14:45:00.000000,7060.5,5,10,10,initial,runner_target_hit,7578,2026-1-23 16:09:00.000000,7070.5,7055.5,7050.5,7055.5,7050.5,true,28,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-23,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-23_7558_long_9,ESU26-CME,long,7558,2026-1-23 15:09:00.000000,7054.5,5,10,10,initial,end_of_session,7579,2026-1-23 16:12:00.000000,7044.5,7059.5,7064.5,7059.5,7050.5,true,21,1,50,7,25,18,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7592_short_0,ESU26-CME,short,7592,2026-1-26 10:06:00.000000,7088.25,5,10,10,initial,runner_initial_stop_hit,7596,2026-1-26 10:18:00.000000,7098.25,7083.25,7078.25,7083.25,7098.25,true,4,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7601_short_1,ESU26-CME,short,7601,2026-1-26 10:33:00.000000,7094.25,5,10,10,initial,runner_initial_stop_hit,7659,2026-1-26 13:27:00.000000,7104.25,7089.25,7084.25,7089.25,7104.25,true,58,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7606_short_2,ESU26-CME,short,7606,2026-1-26 10:48:00.000000,7095.5,5,10,10,initial,runner_initial_stop_hit,7660,2026-1-26 13:30:00.000000,7105.5,7090.5,7085.5,7090.5,7105.5,true,54,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7618_short_3,ESU26-CME,short,7618,2026-1-26 11:24:00.000000,7095.75,5,10,10,initial,full_stop_hit,7660,2026-1-26 13:30:00.000000,7105.75,7090.75,7085.75,7105.75,7105.75,false,42,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=36:train_dates=20:holdout_dates=5,holdout,true,2026-01-22;2026-01-23;2026-01-26;2026-01-27;2026-01-28,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2026-01-26,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-01-26_7629_short_4,ESU26-CME,short,7629,2026-1-26 11:57:00.000000,7097,5,10,10,initial,full_stop_hit,7660,2026-1-26 13:30:00.000000,7107,7092,7087,7107,7107,false,31,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
