schema_version,context_id,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,risk_points,target_distance_points,original_reward_risk,sweep_abs_delta,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,target_distance_to_average_bar_range,sweep_abs_delta_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246:quality,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246,liquidity_sweep_absorption_reversal_ESU26-CME_2243,ESU26-CME,short,2026-06-01  11:31:21,2243,50,50,121,4.25,7.875,1.85294118,8,19.75,0.61,5.58,4.88,3.9,1,2,2,0,6.96721311,12.90983607,2.05128205,0.35842294,0.40983607,0,stop_hit,-241,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032,liquidity_sweep_absorption_reversal_ESU26-CME_3013,ESU26-CME,long,2026-06-03  12:57:17,3013,50,50,207,5.25,18.375,3.5,13,12.25,0.74,8.02,7.08,4.06,1,15,13,1,7.09459459,24.83108108,3.20197044,1.87032419,1.83615819,0.24630542,stop_hit,-291,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357,liquidity_sweep_absorption_reversal_ESU26-CME_3355,ESU26-CME,short,2026-06-04  10:32:05,3355,50,50,62,2.5,10.5,4.2,1,20.5,0.68,6.18,6.14,2.58,1,6,6,-6,3.67647059,15.44117647,0.3875969,0.97087379,0.9771987,2.3255814,stop_hit,-153.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393,liquidity_sweep_absorption_reversal_ESU26-CME_5390,ESU26-CME,short,2026-06-08  11:18:08,5390,50,50,108,4.25,18.25,4.29411765,2,16.75,0.645,7.7,6.22,4.38,0.5,2,2,-2,6.58914729,28.29457364,0.456621,0.25974026,0.32154341,0.456621,stop_hit,-241,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666,liquidity_sweep_absorption_reversal_ESU26-CME_5659,ESU26-CME,long,2026-06-08  13:15:04,5659,50,50,225,7.5,15.75,2.1,2,27,0.47,4.48,4.14,3.12,1,15,15,15,15.95744681,33.5106383,0.64102564,3.34821429,3.62318841,4.80769231,stop_hit,-403.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517:quality,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517,liquidity_sweep_absorption_reversal_ESU26-CME_11477,ESU26-CME,short,2026-06-10  10:30:57,11477,50,50,60,2.5,26.625,10.65,5,12.5,0.785,10.72,10.02,4.8,0.75,6,6,2,3.18471338,33.91719745,1.04166667,0.55970149,0.5988024,0.41666667,stop_hit,-153.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009:quality,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009,liquidity_sweep_absorption_reversal_ESU26-CME_12007,ESU26-CME,long,2026-06-10  11:10:45,12007,50,50,100,2,27.125,13.5625,6,15,0.765,7.32,6.64,3.36,1,9,9,-1,2.61437908,35.45751634,1.78571429,1.2295082,1.35542169,0.29761905,stop_hit,-128.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766:quality,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766,liquidity_sweep_absorption_reversal_ESU26-CME_16761,ESU26-CME,long,2026-06-11  10:58:10,16761,50,50,88,3.5,25.875,7.39285714,4,15.25,0.93,26.46,24.06,8.38,1,6,6,0,3.76344086,27.82258065,0.47732697,0.22675737,0.24937656,0,stop_hit,-203.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070:quality,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070,liquidity_sweep_absorption_reversal_ESU26-CME_19000,ESU26-CME,short,2026-06-11  13:29:26,19000,50,50,239,4.75,25.125,5.28947368,37,13,0.81,10.96,10.22,4.8,0.75,15,15,5,5.86419753,31.01851852,7.70833333,1.36861314,1.46771037,1.04166667,stop_hit,-266,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701:quality,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701,liquidity_sweep_absorption_reversal_ESU26-CME_24697,ESU26-CME,short,2026-06-12  10:54:39,24697,50,50,84,3.5,28.5,8.14285714,9,9.75,0.975,43.84,37.36,9.92,1,12,11,-10,3.58974359,29.23076923,0.90725806,0.27372263,0.29443255,1.00806452,stop_hit,-203.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027:quality,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027,liquidity_sweep_absorption_reversal_ESU26-CME_32971,ESU26-CME,long,2026-06-17  10:42:16,32971,50,50,72,2,9.25,4.625,10,12.5,1,380.96,311.12,54.44,1,144,124,38,2,9.25,0.18368846,0.37799244,0.39856004,0.69801616,stop_hit,-128.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909:quality,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909,liquidity_sweep_absorption_reversal_ESU26-CME_42907,ESU26-CME,short,2026-06-19  10:46:47,42907,50,50,76,1.75,3.25,1.85714286,31,11,1,235.42,210.26,32.98,1,486,417,36,1.75,3.25,0.93996361,2.06439555,1.98325882,1.09157065,stop_hit,-116,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046:quality,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046,liquidity_sweep_absorption_reversal_ESU26-CME_43034,ESU26-CME,long,2026-06-19  12:59:30,43034,50,50,209,2.75,2.75,1,26,12.5,1,105.36,79.28,25.44,0.5,15,15,15,2.75,2.75,1.02201258,0.14236902,0.18920283,0.58962264,stop_hit,-166,rolling pre-entry volatility/activity context from orderflow bar export
