schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,entry_volume_to_session_average_volume,3,10,0.46083014,0.51952011,130,67,37,15,11,74,0.56923077,6077.5,46.75
1,entry_volume_to_session_average_volume,4,10,0.51962624,0.5793063,130,61,33,27,9,66,0.50769231,3015,23.19230769
1,entry_volume_to_session_average_volume,5,10,0.57978006,0.63781508,130,72,30,16,12,81,0.62307692,18090,139.15384615
1,entry_volume_to_session_average_volume,6,10,0.63798845,0.70692789,129,68,38,16,7,75,0.58139535,7222,55.98449612
1,entry_volume_to_session_average_volume,7,10,0.70780638,0.78654857,130,63,32,19,16,74,0.56923077,8490,65.30769231
1,entry_volume_to_session_average_volume,8,10,0.78841456,0.92104043,130,56,49,14,11,63,0.48461538,-13760,-105.84615385
1,entry_volume_to_session_average_volume,9,10,0.92173275,1.15617301,130,66,37,20,7,72,0.55384615,4365,33.57692308
1,entry_volume_to_session_average_volume,10,10,1.16092129,4.07336182,130,70,40,11,9,76,0.58461538,6827.5,52.51923077
1,entry_trades_to_session_average_trades,1,10,0.14025966,0.39908251,129,46,44,18,21,61,0.47286822,-14603,-113.20155039
1,entry_trades_to_session_average_trades,2,10,0.39931917,0.45490188,130,64,32,16,18,72,0.55384615,7852.5,60.40384615
1,entry_trades_to_session_average_trades,3,10,0.45546481,0.51566067,130,62,41,18,9,69,0.53076923,-1060,-8.15384615
1,entry_trades_to_session_average_trades,4,10,0.51584266,0.57101267,130,66,31,22,11,71,0.54615385,8952.5,68.86538462
1,entry_trades_to_session_average_trades,5,10,0.57145156,0.63360628,130,67,33,21,9,75,0.57692308,9702.5,74.63461538
1,entry_trades_to_session_average_trades,6,10,0.63377425,0.69059902,129,69,31,18,11,78,0.60465116,14747,114.31782946
1,entry_trades_to_session_average_trades,7,10,0.69122248,0.77057342,130,60,42,16,12,69,0.53076923,-3847.5,-29.59615385
1,entry_trades_to_session_average_trades,8,10,0.77305757,0.8950079,130,67,40,15,8,70,0.53846154,2465,18.96153846
1,entry_trades_to_session_average_trades,9,10,0.89857946,1.13264262,130,62,41,17,10,72,0.55384615,-685,-5.26923077
1,entry_trades_to_session_average_trades,10,10,1.13625813,3.9938806,130,69,41,14,6,72,0.55384615,3577.5,27.51923077
1,lookback_volume_to_session_average_volume,1,10,0.37806835,0.52166579,129,59,39,12,19,68,0.52713178,-1253,-9.71317829
1,lookback_volume_to_session_average_volume,2,10,0.52253252,0.57928157,130,57,27,20,26,77,0.59230769,12765,98.19230769
1,lookback_volume_to_session_average_volume,3,10,0.57937081,0.63329394,130,56,30,21,23,69,0.53076923,3440,26.46153846
1,lookback_volume_to_session_average_volume,4,10,0.63387307,0.67869771,130,63,41,12,14,74,0.56923077,815,6.26923077
1,lookback_volume_to_session_average_volume,5,10,0.67895067,0.74061945,130,57,44,18,11,67,0.51538462,-8197.5,-63.05769231
1,lookback_volume_to_session_average_volume,6,10,0.74133908,0.80130897,129,59,43,21,6,63,0.48837209,-7290.5,-56.51550388
1,lookback_volume_to_session_average_volume,7,10,0.80293173,0.87751584,130,69,45,9,7,73,0.56153846,827.5,6.36538462
1,lookback_volume_to_session_average_volume,8,10,0.87758776,0.95719531,130,77,29,20,4,79,0.60769231,19990,153.76923077
1,lookback_volume_to_session_average_volume,9,10,0.95725179,1.01510662,130,65,44,21,0,65,0.5,-4660,-35.84615385
1,lookback_volume_to_session_average_volume,10,10,1.01526251,2.05918809,130,70,34,21,5,74,0.56923077,10665,82.03846154
1,lookback_trades_to_session_average_trades,1,10,0.36072901,0.5104183,129,59,36,8,26,74,0.57364341,4697,36.41085271
1,lookback_trades_to_session_average_trades,2,10,0.51190924,0.57517275,130,57,28,18,27,75,0.57692308,9790,75.30769231
1,lookback_trades_to_session_average_trades,3,10,0.57522735,0.62760984,130,58,30,22,20,70,0.53846154,5040,38.76923077
1,lookback_trades_to_session_average_trades,4,10,0.62797344,0.66860265,130,60,39,17,14,72,0.55384615,-85,-0.65384615
