schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,entry_trades_to_session_average_trades,8,10,0.77967061,0.89857946,164,80,54,19,11,85,0.51829268,-2998,-18.2804878
1,entry_trades_to_session_average_trades,9,10,0.90041768,1.12961608,164,78,55,21,10,88,0.53658537,-4748,-28.95121951
1,entry_trades_to_session_average_trades,10,10,1.13003938,4.86478595,164,87,51,18,8,92,0.56097561,5627,34.31097561
1,lookback_volume_to_session_average_volume,1,10,0.37806835,0.53350596,163,83,43,15,22,95,0.58282209,11634,71.37423313
1,lookback_volume_to_session_average_volume,2,10,0.53483094,0.59114795,164,76,30,29,29,95,0.57926829,19614.5,119.60060976
1,lookback_volume_to_session_average_volume,3,10,0.59173334,0.64094533,164,70,46,20,28,87,0.5304878,-3535.5,-21.55792683
1,lookback_volume_to_session_average_volume,4,10,0.64118334,0.69340499,164,84,49,17,14,96,0.58536585,6827,41.62804878
1,lookback_volume_to_session_average_volume,5,10,0.69344161,0.75305508,164,64,59,25,16,78,0.47560976,-19860.5,-121.10060976
1,lookback_volume_to_session_average_volume,6,10,0.75317762,0.81380671,164,77,60,19,8,82,0.5,-11410.5,-69.57621951
1,lookback_volume_to_session_average_volume,7,10,0.81426466,0.88674055,164,86,55,13,10,94,0.57317073,3652,22.26829268
1,lookback_volume_to_session_average_volume,8,10,0.8869939,0.96570073,164,90,44,26,4,92,0.56097561,12152,74.09756098
1,lookback_volume_to_session_average_volume,9,10,0.96590138,1.01558668,164,78,56,29,1,79,0.48170732,-9523,-58.06707317
1,lookback_volume_to_session_average_volume,10,10,1.01593753,2.12982408,164,88,47,22,7,93,0.56707317,9802,59.76829268
1,lookback_trades_to_session_average_trades,1,10,0.36072901,0.52051792,163,83,40,10,30,101,0.6196319,18246.5,111.94171779
1,lookback_trades_to_session_average_trades,2,10,0.52134712,0.58077823,164,72,36,28,28,90,0.54878049,8502,51.84146341
1,lookback_trades_to_session_average_trades,3,10,0.58079796,0.63597602,164,72,43,22,27,89,0.54268293,1064.5,6.49085366
1,lookback_trades_to_session_average_trades,4,10,0.6362756,0.68322093,164,84,46,20,14,96,0.58536585,9277,56.56707317
1,lookback_trades_to_session_average_trades,5,10,0.68397515,0.74056977,164,69,59,26,10,78,0.47560976,-16585.5,-101.13109756
1,lookback_trades_to_session_average_trades,6,10,0.74102906,0.80806613,164,73,62,18,11,81,0.49390244,-16085.5,-98.08231707
1,lookback_trades_to_session_average_trades,7,10,0.80884373,0.882412,164,82,58,16,8,88,0.53658537,-3273,-19.95731707
1,lookback_trades_to_session_average_trades,8,10,0.88276284,0.96158068,164,92,44,24,4,94,0.57317073,14152,86.29268293
1,lookback_trades_to_session_average_trades,9,10,0.96170207,1.01619588,164,81,53,29,1,82,0.5,-4585.5,-27.96036585
1,lookback_trades_to_session_average_trades,10,10,1.01620361,2.17466225,164,88,48,22,6,92,0.56097561,8639.5,52.67987805
1,risk_to_average_bar_range,1,10,0.53981107,0.96153846,163,94,55,13,1,94,0.57668712,6996.5,42.92331288
1,risk_to_average_bar_range,2,10,0.96269555,1.15942029,164,87,45,32,0,87,0.5304878,7002,42.69512195
1,risk_to_average_bar_range,3,10,1.16110305,1.3536379,164,96,47,21,0,96,0.58536585,14502,88.42682927
1,risk_to_average_bar_range,4,10,1.3536379,1.55945419,164,82,50,32,0,82,0.5,-1748,-10.65853659
1,risk_to_average_bar_range,5,10,1.55945419,1.77777778,164,89,47,26,2,90,0.54878049,8102,49.40243902
1,risk_to_average_bar_range,6,10,1.78173719,2.05128205,164,68,55,33,8,76,0.46341463,-15460.5,-94.27134146
1,risk_to_average_bar_range,7,10,2.05128205,2.3880597,164,77,51,26,10,84,0.51219512,-3523,-21.48170732
1,risk_to_average_bar_range,8,10,2.39520958,2.86738351,164,84,49,12,19,97,0.59146341,8389.5,51.1554878
1,risk_to_average_bar_range,9,10,2.86738351,3.68663594,164,59,55,16,34,84,0.51219512,-14260.5,-86.95426829
1,risk_to_average_bar_range,10,10,3.68663594,8.5106383,164,60,35,4,65,101,0.61585366,9352,57.02439024
1,runner_target_to_average_bar_range,1,10,0.53981107,0.96153846,163,94,55,13,1,94,0.57668712,6996.5,42.92331288
1,runner_target_to_average_bar_range,2,10,0.96269555,1.15942029,164,87,45,32,0,87,0.5304878,7002,42.69512195
1,runner_target_to_average_bar_range,3,10,1.16110305,1.3536379,164,96,47,21,0,96,0.58536585,14502,88.42682927
1,runner_target_to_average_bar_range,4,10,1.3536379,1.55945419,164,82,50,32,0,82,0.5,-1748,-10.65853659
1,runner_target_to_average_bar_range,5,10,1.55945419,1.77777778,164,89,47,26,2,90,0.54878049,8102,49.40243902
1,runner_target_to_average_bar_range,6,10,1.78173719,2.05128205,164,68,55,33,8,76,0.46341463,-15460.5,-94.27134146
1,runner_target_to_average_bar_range,7,10,2.05128205,2.3880597,164,77,51,26,10,84,0.51219512,-3523,-21.48170732
1,runner_target_to_average_bar_range,8,10,2.39520958,2.86738351,164,84,49,12,19,97,0.59146341,8389.5,51.1554878
1,runner_target_to_average_bar_range,9,10,2.86738351,3.68663594,164,59,55,16,34,84,0.51219512,-14260.5,-86.95426829
1,runner_target_to_average_bar_range,10,10,3.68663594,8.5106383,164,60,35,4,65,101,0.61585366,9352,57.02439024
