schema_version,trade_date,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,cumulative_net_usd
1,2026-02-10,10,5,3,2,0,5,0.5,-70,-7,-2514
1,2026-02-11,6,5,1,0,0,5,0.83333333,2558,426.33333333,44
1,2026-02-12,6,1,3,2,0,1,0.16666667,-2942,-490.33333333,-2898
1,2026-02-13,9,7,2,0,0,7,0.77777778,2962,329.11111111,64
1,2026-02-16,3,2,0,0,1,3,1,1766.5,588.83333333,1830.5
1,2026-02-17,9,8,0,1,0,8,0.88888889,5462,606.88888889,7292.5
1,2026-02-18,8,6,1,1,0,6,0.75,2994,374.25,10286.5
1,2026-02-19,7,5,1,1,0,5,0.71428571,2276,325.14285714,12562.5
1,2026-02-20,12,6,3,2,1,6,0.5,528.5,44.04166667,13091
1,2026-02-23,9,3,5,1,0,3,0.33333333,-3288,-365.33333333,9803
1,2026-02-24,8,3,2,2,1,4,0.5,-168.5,-21.0625,9634.5
1,2026-02-25,12,2,5,1,4,2,0.16666667,-5434,-452.83333333,4200.5
1,2026-02-26,10,5,2,1,2,6,0.6,1617.5,161.75,5818
1,2026-02-27,12,9,2,1,0,9,0.75,4116,343,9934
1,2026-03-02,9,7,1,1,0,7,0.77777778,3712,412.44444444,13646
1,2026-03-03,10,7,2,1,0,7,0.7,2680,268,16326
1,2026-03-04,9,6,2,1,0,6,0.66666667,1962,218,18288
1,2026-03-05,6,5,1,0,0,5,0.83333333,2558,426.33333333,20846
1,2026-03-06,11,5,3,3,0,5,0.45454545,-352,-32,20494
1,2026-03-09,6,0,5,1,0,0,0,-5442,-907,15052
1,2026-03-10,9,4,4,1,0,4,0.44444444,-1538,-170.88888889,13514
1,2026-03-11,10,8,0,2,0,8,0.8,5180,518,18694
1,2026-03-12,7,4,2,1,0,4,0.57142857,526,75.14285714,19220
1,2026-03-13,11,4,4,2,1,5,0.45454545,-1577,-143.36363636,17643
1,2026-03-16,9,5,2,2,0,5,0.55555556,962,106.88888889,18605
1,2026-03-17,8,2,1,3,2,3,0.375,-318.5,-39.8125,18286.5
1,2026-03-18,7,2,3,2,0,2,0.28571429,-2224,-317.71428571,16062.5
1,2026-03-19,12,7,4,0,1,7,0.58333333,828.5,69.04166667,16891
1,2026-03-20,9,6,0,3,0,6,0.66666667,3462,384.66666667,20353
1,2026-03-23,8,3,3,2,0,3,0.375,-1506,-188.25,18847
1,2026-03-24,8,4,4,0,0,4,0.5,-1256,-157,17591
1,2026-03-25,12,10,1,1,0,10,0.83333333,5866,488.83333333,23457
1,2026-03-26,6,0,4,2,0,0,0,-4692,-782,18765
1,2026-03-27,6,5,1,0,0,5,0.83333333,2558,426.33333333,21323
1,2026-03-30,10,3,3,4,0,3,0.3,-2070,-207,19253
1,2026-03-31,8,1,6,1,0,1,0.125,-5756,-719.5,13497
1,2026-04-01,10,8,2,0,0,8,0.8,3680,368,17177
1,2026-04-02,10,3,4,3,0,3,0.3,-2820,-282,14357
1,2026-04-06,9,7,1,0,1,8,0.88888889,4112,456.88888889,18469
1,2026-04-07,7,4,3,0,0,4,0.57142857,-224,-32,18245
1,2026-04-08,6,3,3,0,0,3,0.5,-942,-157,17303
