schema_version,candidate_id,signal_id,symbol,direction,entry_time,exit_time,exit_reason,first_target_hit,net_usd,exit_first_target_points,exit_stop_points,exit_runner_target_points,exit_runner_stop_mode,lookback_directional_move_points,session_range_points,risk_to_average_bar_range,minutes_after_rth_open,entry_trades_to_session_average_trades,average_bar_range_points,entry_bar_delta
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6502_short_1,ESU26-CME,short,2025-11-20 10:36:00.000000,2025-11-20 10:48:00.000000,runner_target_hit,true,868,6,10,12,initial,-16,31,1.08548168,66,0.72473927,9.2125,352
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6511_long_2,ESU26-CME,long,2025-11-20 11:03:00.000000,2025-11-20 11:09:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-26.75,43.75,1.22699387,93,1.32549892,8.15,-2299
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6518_long_3,ESU26-CME,long,2025-11-20 11:24:00.000000,2025-11-20 11:30:00.000000,runner_initial_stop_hit,true,-232,6,10,12,initial,-66.25,83,1.14285714,114,1.55700056,8.75,-611
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6525_long_4,ESU26-CME,long,2025-11-20 11:45:00.000000,2025-11-20 11:51:00.000000,runner_target_hit,true,868,6,10,12,initial,-103,120.75,0.8583691,135,1.63100416,11.65,-767
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6532_long_5,ESU26-CME,long,2025-11-20 12:06:00.000000,2025-11-20 12:09:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-102.25,166.5,0.64620355,156,1.36895879,15.475,-185
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6537_long_6,ESU26-CME,long,2025-11-20 12:21:00.000000,2025-11-20 12:24:00.000000,full_stop_hit,false,-1032,6,10,12,initial,-95.75,191.25,0.54869684,171,1.33394241,18.225,-987
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6550_long_7,ESU26-CME,long,2025-11-20 13:00:00.000000,2025-11-20 13:06:00.000000,runner_target_hit,true,868,6,10,12,initial,-31.5,203,0.53981107,210,0.97820862,18.525,-591
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6568_long_10,ESU26-CME,long,2025-11-20 13:54:00.000000,2025-11-20 13:57:00.000000,runner_target_hit,true,868,6,10,12,initial,-23.25,216.25,0.76263108,264,0.72975997,13.1125,-453
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6574_long_11,ESU26-CME,long,2025-11-20 14:12:00.000000,2025-11-20 14:18:00.000000,runner_target_hit,true,868,6,10,12,initial,-65,219,0.79286422,282,0.65706997,12.6125,-1122
1,exit6_stop10_runner12_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-11-20_6583_long_12,ESU26-CME,long,2025-11-20 14:39:00.000000,2025-11-20 14:54:00.000000,runner_target_hit,true,868,6,10,12,initial,-12,219,0.87912088,309,0.55139993,11.375,-205
