schema_version,split_id,sample,selected_on_train,trade_dates,selected_context_experiment_id,veto_id,veto_name,veto_field,veto_operator,veto_threshold,minimum_kept_train_trades,selected_input_trades,kept_trades,vetoed_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unvetoed_net_usd,veto_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=21:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,13,11,2,10,0,1,0,10,0.90909091,5623,511.18181818,433.1712427,3509,2114,4,7,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=21:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=12,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,12,10,3,3,0,1,1,1,0,1,0.33333333,-771,-257,-646.44404818,-771,0,1,2,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=23:train_dates=8:holdout_dates=2,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=10,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,10,10,14,12,2,10,0,2,0,10,0.83333333,5316,443,346.17541634,3202,2114,5,7,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=23:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-15,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=10,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,10,10,2,2,0,1,1,0,0,1,0.5,-464,-232,-815.36309448,-464,0,1,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=25:train_dates=8:holdout_dates=2,train,true,2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.25,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.25,10,16,10,6,9,0,1,0,9,0.9,5030,503,417.61850318,4388,642,4,6,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=25:train_dates=8:holdout_dates=2,holdout,true,2026-06-16;2026-06-17,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=8:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.25,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.25,10,4,3,1,2,1,0,0,2,0.66666667,129,43,-406.07311951,722,-593,0,3,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=27:train_dates=8:holdout_dates=2,train,true,2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=8,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,8,10,15,14,1,10,2,2,0,10,0.71428571,3202,228.71428571,65.72025087,2145,1057,4,10,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=27:train_dates=8:holdout_dates=2,holdout,true,2026-06-18;2026-06-19,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=1:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=8,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,8,10,1,1,0,1,0,0,0,1,1,593,593,593,593,0,1,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=29:train_dates=8:holdout_dates=2,train,true,2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=0.75,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,0.75,10,23,13,10,9,2,1,1,9,0.69230769,2109,162.23076923,-23.06752391,2189,-80,13,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=29:train_dates=8:holdout_dates=2,holdout,true,2026-06-22;2026-06-23,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=long:minutes=0-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=0.75,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,0.75,10,1,1,0,1,0,0,0,1,1,593,593,593,593,0,1,0,second-stage single-feature veto selected on train rows only
