schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_open_price,entry_close_price,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,session_open_price,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,continuation_edge_score,fade_edge_score,directional_open_distance_points,opening_range_high,opening_range_low,opening_range_points,entry_position_in_opening_range,opening_range_continuation_edge_score,opening_range_fade_edge_score,directional_opening_range_breakout_points,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,session_bars_so_far,session_average_volume,session_average_trades,entry_volume_to_session_average_volume,entry_trades_to_session_average_trades,lookback_volume_to_session_average_volume,lookback_trades_to_session_average_trades,exit_reason,first_target_hit,net_usd,notes
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20478_long_5:runner_target_hit:20481:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20478_long_5:runner_target_hit:20481:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20478_long_5,ESU26-CME,long,2026-6-10 12:54:00.000000,20478,20,20,204,7384.25,7374.25,7389.25,7394.25,10,5,10,1,,-19,19,31.5,10.7125,6611.55,5291.4,337.55,9.75,7387.5,7384.25,4881,3932,-19,0.93348891,0.93348891,0.05628796,0.73825351,0.74309257,0.05628796,7417.5,7467.25,7367.5,99.75,0.1679198,0.1679198,0.8320802,-33.25,7453,7397.75,55.25,-0.24434389,-0.24434389,1.24434389,-68.75,-5.75,0.05882353,0.94117647,69,11132.91304348,9168.04347826,0.43842972,0.42888104,0.59387422,0.57715695,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20488_long_6:full_stop_hit:20490:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20488_long_6:full_stop_hit:20490:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20488_long_6,ESU26-CME,long,2026-6-10 13:24:00.000000,20488,20,20,234,7378,7368,7383,7388,10,5,10,1,,-51,51,36.75,9.775,5598.2,4506.3,341.1,7.25,7375,7378,6197,4913,-51,1.0230179,1.0230179,0.14951627,1.10696295,1.09025143,0.14951627,7417.5,7467.25,7367.5,99.75,0.10526316,0.10526316,0.89473684,-39.5,7453,7397.75,55.25,-0.35746606,-0.35746606,1.35746606,-75,-12,0.13407821,0.86592179,79,10393.84810127,8554.20253165,0.59621806,0.57433758,0.53860706,0.5267937,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20502_long_7:full_stop_hit:20506:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20502_long_7:full_stop_hit:20506:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20502_long_7,ESU26-CME,long,2026-6-10 14:06:00.000000,20502,20,20,276,7394.25,7384.25,7399.25,7404.25,10,5,10,1,,-93,93,39.5,9.575,6279.35,5157.65,352.35,12.5,7398.25,7394.25,5581,4810,-93,1.04438642,1.04438642,0.2639421,0.88878626,0.93259527,0.2639421,7417.5,7467.25,7361.5,105.75,0.30969267,0.30969267,0.69030733,-23.25,7453,7397.75,55.25,-0.06334842,-0.06334842,1.06334842,-58.75,13.75,0.15942029,0.84057971,93,9849.40860215,8106,0.56663301,0.59338761,0.63753574,0.6362756,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20514_long_8:full_stop_hit:20516:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20514_long_8:full_stop_hit:20516:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20514_long_8,ESU26-CME,long,2026-6-10 14:42:00.000000,20514,20,20,312,7368.25,7358.25,7373.25,7378.25,10,5,10,1,,-69,69,39.5,9.975,6158.3,5066.95,268.9,6.75,7366.75,7368.25,4883,3928,-69,1.00250627,1.00250627,0.25660097,0.79291363,0.77521981,0.25660097,7417.5,7467.25,7361.5,105.75,0.06382979,0.06382979,0.93617021,-49.25,7453,7397.75,55.25,-0.53393665,-0.53393665,1.53393665,-84.75,5.5,0.06748466,0.93251534,105,9285.79047619,7641.82857143,0.52585722,0.5140131,0.6631961,0.66305465,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20520_long_9:runner_initial_stop_hit:20526:-282:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20520_long_9:runner_initial_stop_hit:20526:-282,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20520_long_9,ESU26-CME,long,2026-6-10 15:00:00.000000,20520,20,20,330,7358.25,7348.25,7363.25,7368.25,10,5,10,1,,-223,223,48,8.7625,5884.95,4825.85,283.35,6.75,7357.5,7358.25,8029,6605,-223,1.14122682,1.14122682,0.78701253,1.36432765,1.3686708,0.78701253,7417.5,7467.25,7351.5,115.75,0.05831533,0.05831533,0.94168467,-59.25,7453,7397.75,55.25,-0.71493213,-0.71493213,1.71493213,-94.75,-36,0.52941176,0.47058824,111,9196.52252252,7567.98198198,0.87304739,0.87275578,0.63991036,0.63766669,runner_initial_stop_hit,true,-282,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20534_long_10:ambiguous_full_stop_first:20536:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20534_long_10:ambiguous_full_stop_first:20536:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-10_20534_long_10,ESU26-CME,long,2026-6-10 15:42:00.000000,20534,20,20,372,7356.5,7346.5,7361.5,7366.5,10,5,10,1,,-58,58,32.25,8.4375,7811.3,6430.05,359.1,8.5,7356,7356.5,7984,6792,-58,1.18518519,1.18518519,0.1615149,1.022109,1.05629039,0.1615149,7417.5,7467.25,7338.5,128.75,0.13980583,0.13980583,0.86019417,-61,7453,7397.75,55.25,-0.74660633,-0.74660633,1.74660633,-96.5,-11.75,0.14373089,0.85626911,125,9074.68,7470.856,0.87981064,0.90913277,0.86077966,0.86068451,ambiguous_full_stop_first,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20560_long_0:runner_target_hit:20562:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20560_long_0:runner_target_hit:20562:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20560_long_0,ESU26-CME,long,2026-6-11 10:15:00.000000,20560,20,15,45,7359.5,7349.5,7364.5,7369.5,10,5,10,1,,-38,38,52.75,15.53333333,17622.73333333,15124.06666667,753.93333333,15,7360.75,7359.5,15518,13340,-38,0.64377682,0.64377682,0.05040233,0.88056715,0.8820379,0.05040233,7370.5,7398.25,7345.5,52.75,0.26540284,0.26540284,0.73459716,-11,7398,7345.5,52.5,0.26666667,0.26666667,0.73333333,-38.5,0.75,0.00587084,0.99412916,16,17491.1875,15012.5625,0.88718962,0.88858914,1.00752069,1.00742739,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20575_long_1:runner_target_hit:20576:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20575_long_1:runner_target_hit:20576:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20575_long_1,ESU26-CME,long,2026-6-11 11:00:00.000000,20575,20,20,90,7334,7324,7339,7344,10,5,10,1,,-555,555,65.5,14.825,12443.45,10629.3,386.05,13.25,7338,7334,15503,12528,-555,0.67453626,0.67453626,1.43763761,1.24587634,1.17862888,1.43763761,7370.5,7398.25,7325.5,72.75,0.11683849,0.11683849,0.88316151,-36.5,7398,7345.5,52.5,-0.21904762,-0.21904762,1.21904762,-64,-58.5,0.39527027,0.60472973,31,14622.22580645,12472.16129032,1.0602353,1.00447707,0.85099561,0.85224203,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20586_long_2:runner_target_hit:20587:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20586_long_2:runner_target_hit:20587:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20586_long_2,ESU26-CME,long,2026-6-11 11:33:00.000000,20586,20,20,123,7359.5,7349.5,7364.5,7369.5,10,5,10,1,,-217,217,57.25,13.075,9324.5,7568.3,445.6,9.75,7358,7359.5,6361,5490,-217,0.76481836,0.76481836,0.48698384,0.68218135,0.72539408,0.48698384,7370.5,7398.25,7325.5,72.75,0.46735395,0.46735395,0.53264605,-11,7398,7345.5,52.5,0.26666667,0.26666667,0.73333333,-38.5,-13.75,0.12359551,0.87640449,42,13060.71428571,11024.4047619,0.48703309,0.49798607,0.71393492,0.68650418,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20593_long_3:runner_target_hit:20594:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20593_long_3:runner_target_hit:20594:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20593_long_3,ESU26-CME,long,2026-6-11 11:54:00.000000,20593,20,20,144,7354.75,7344.75,7359.75,7364.75,10,5,10,1,,-91,91,51.25,12.7625,8649.65,6911.8,498.85,7.5,7352,7354.75,6525,5349,-91,0.78354554,0.78354554,0.18241956,0.75436578,0.77389392,0.18241956,7370.5,7398.25,7325.5,72.75,0.40206186,0.40206186,0.59793814,-15.75,7398,7345.5,52.5,0.17619048,0.17619048,0.82380952,-43.25,13.25,0.11910112,0.88089888,49,12134.53061224,10193.59183673,0.53772166,0.52474143,0.7128129,0.67805344,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20600_short_4:runner_target_hit:20602:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20600_short_4:runner_target_hit:20602:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20600_short_4,ESU26-CME,short,2026-6-11 12:15:00.000000,20600,20,20,165,7378.75,7388.75,7373.75,7368.75,10,5,10,1,,67,67,34.75,11.05,6943.2,5450.5,519.2,10.5,7381,7378.75,7065,5928,67,0.90497738,0.90497738,0.12904468,1.01754234,1.08760664,0.12904468,7370.5,7398.25,7325.5,72.75,0.73195876,0.26804124,0.73195876,-8.25,7398,7345.5,52.5,0.63333333,0.36666667,0.63333333,-33.25,-22,0.20091324,0.79908676,56,11481.25,9574.55357143,0.61535112,0.61914114,0.60474251,0.56926936,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20616_long_5:runner_target_hit:20618:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20616_long_5:runner_target_hit:20618:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20616_long_5,ESU26-CME,long,2026-6-11 13:03:00.000000,20616,20,20,213,7344.5,7334.5,7349.5,7354.5,10,5,10,1,,-464,464,41.25,9.2875,6385.15,5108.8,461.45,10,7346.75,7344.5,10188,8500,-464,1.07671602,1.07671602,1.00552606,1.59557724,1.6637958,1.00552606,7370.5,7398.25,7325.5,72.75,0.26116838,0.26116838,0.73883162,-26,7398,7345.5,52.5,-0.01904762,-0.01904762,1.01904762,-53.5,-21.75,0.23835616,0.76164384,72,10385.01388889,8624.04166667,0.98102902,0.98561676,0.6148427,0.59239046,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20621_long_6:runner_target_hit:20623:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20621_long_6:runner_target_hit:20623:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20621_long_6,ESU26-CME,long,2026-6-11 13:18:00.000000,20621,20,20,228,7339.75,7329.75,7344.75,7349.75,10,5,10,1,,-515,515,44.75,9.3625,6630.25,5429.1,437.75,7.5,7340.5,7339.75,6985,5970,-515,1.06809079,1.06809079,1.17647059,1.05350477,1.09962977,1.17647059,7370.5,7398.25,7325.5,72.75,0.19587629,0.19587629,0.80412371,-30.75,7398,7345.5,52.5,-0.10952381,-0.10952381,1.10952381,-58.25,-38.75,0.4200542,0.5799458,77,10162.85714286,8451,0.68730672,0.70642528,0.6524002,0.64242102,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20635_short_7:runner_target_hit:20636:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20635_short_7:runner_target_hit:20636:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20635_short_7,ESU26-CME,short,2026-6-11 14:00:00.000000,20635,20,20,270,7420.5,7430.5,7415.5,7410.5,10,5,10,1,,304,304,114.75,15.2625,13416.9,11090.3,731.9,19.25,7431.75,7420.5,13556,10336,304,0.65520066,0.65520066,0.41535729,1.01036752,0.93198561,0.41535729,7370.5,7449,7325.5,123.5,0.76923077,0.23076923,0.76923077,-50,7398,7345.5,52.5,1.42857143,-0.42857143,1.42857143,-75,-73.75,0.39918809,0.60081191,91,11100.75824176,9197.01098901,1.22117784,1.12384339,1.20864717,1.20585917,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20641_short_8:runner_target_hit:20642:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20641_short_8:runner_target_hit:20642:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2026-06-11_20641_short_8,ESU26-CME,short,2026-6-11 14:18:00.000000,20641,20,20,288,7433.5,7443.5,7428.5,7423.5,10,5,10,1,,200,200,114.75,16.5,13912.85,11376.1,834.85,10,7436,7433.5,6874,5586,200,0.60606061,0.60606061,0.23956399,0.49407562,0.49102944,0.23956399,7370.5,7449,7325.5,123.5,0.87449393,0.12550607,0.87449393,-63,7398,7345.5,52.5,1.67619048,-0.67619048,1.67619048,-88,-93.75,0.4601227,0.5398773,97,10934.90721649,9050.15463918,0.62862902,0.61722702,1.27233361,1.25700615,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
