schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_reward_risk,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,all,0.5,10,10,4,6,0,0.4,293.75,8.75,0.875,5,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,10,5,1,4,0,0.2,-125,-267.5,-53.5,5,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,10,5,3,2,0,0.6,418.75,276.25,55.25,0,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,all,0.75,10,10,4,6,0,0.4,293.75,8.75,0.875,5,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,long,0.75,10,5,1,4,0,0.2,-125,-267.5,-53.5,5,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,short,0.75,10,5,3,2,0,0.6,418.75,276.25,55.25,0,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1,liquidity_sweep_absorption_reversal,all,1,10,8,4,4,0,0.5,568.75,340.75,42.59375,3,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=1,liquidity_sweep_absorption_reversal,long,1,10,3,1,2,0,0.33333333,150,64.5,21.5,3,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=1,liquidity_sweep_absorption_reversal,short,1,10,5,3,2,0,0.6,418.75,276.25,55.25,0,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.25,liquidity_sweep_absorption_reversal,all,1.25,10,6,3,3,0,0.5,543.75,372.75,62.125,3,3,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=1.25,liquidity_sweep_absorption_reversal,long,1.25,10,3,1,2,0,0.33333333,150,64.5,21.5,3,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=1.25,liquidity_sweep_absorption_reversal,short,1.25,10,3,2,1,0,0.66666667,393.75,308.25,102.75,0,3,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,all,1.5,10,5,3,2,0,0.6,656.25,513.75,102.75,3,2,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,long,1.5,10,3,1,2,0,0.33333333,150,64.5,21.5,3,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,short,1.5,10,2,2,0,0,1,506.25,449.25,224.625,0,2,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,true,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,10,5,3,2,0,0.6,656.25,513.75,102.75,3,2,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=2,liquidity_sweep_absorption_reversal,long,2,10,3,1,2,0,0.33333333,150,64.5,21.5,3,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,holdout,false,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18;2026-06-19,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=2,liquidity_sweep_absorption_reversal,short,2,10,2,2,0,0,1,506.25,449.25,224.625,0,2,post-signal reward/risk filter over absorption outcomes
