schema_version,experiment_id,strategy_id,direction_filter,target_r_multiple,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2,liquidity_sweep_absorption_reversal,short,2,43048,11,11,5,6,0,0.45454545,862.5,549,49.90909091,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,43048,23,23,10,13,0,0.43478261,2050,1394.5,60.63043478,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2.5,liquidity_sweep_absorption_reversal,long,2.5,43048,12,12,6,6,0,0.5,1537.5,1195.5,99.625,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2.5,liquidity_sweep_absorption_reversal,short,2.5,43048,11,11,4,7,0,0.36363636,512.5,199,18.09090909,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=3,liquidity_sweep_absorption_reversal,all,3,43048,23,23,8,14,1,0.34782609,1312.5,657,28.56521739,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=3,liquidity_sweep_absorption_reversal,long,3,43048,12,12,5,7,0,0.41666667,787.5,445.5,37.125,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=3,liquidity_sweep_absorption_reversal,short,3,43048,11,11,3,7,1,0.27272727,525,211.5,19.22727273,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=3.5,liquidity_sweep_absorption_reversal,all,3.5,43048,23,23,7,15,1,0.30434783,1381.25,725.75,31.55434783,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=3.5,liquidity_sweep_absorption_reversal,long,3.5,43048,12,12,4,8,0,0.33333333,556.25,214.25,17.85416667,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=3.5,liquidity_sweep_absorption_reversal,short,3.5,43048,11,11,3,7,1,0.27272727,825,511.5,46.5,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=4,liquidity_sweep_absorption_reversal,all,4,43048,23,23,5,17,1,0.2173913,875,219.5,9.54347826,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=4,liquidity_sweep_absorption_reversal,long,4,43048,12,12,2,10,0,0.16666667,-250,-592,-49.33333333,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=4,liquidity_sweep_absorption_reversal,short,4,43048,11,11,3,7,1,0.27272727,1125,811.5,73.77272727,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=4.5,liquidity_sweep_absorption_reversal,all,4.5,43048,23,23,5,17,1,0.2173913,1381.25,725.75,31.55434783,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=4.5,liquidity_sweep_absorption_reversal,long,4.5,43048,12,12,2,10,0,0.16666667,-43.75,-385.75,-32.14583333,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=4.5,liquidity_sweep_absorption_reversal,short,4.5,43048,11,11,3,7,1,0.27272727,1425,1111.5,101.04545455,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=5,liquidity_sweep_absorption_reversal,all,5,43048,23,23,3,18,2,0.13043478,600,-55.5,-2.41304348,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=5,liquidity_sweep_absorption_reversal,long,5,43048,12,12,2,10,0,0.16666667,162.5,-179.5,-14.95833333,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=5,liquidity_sweep_absorption_reversal,short,5,43048,11,11,1,8,2,0.09090909,437.5,124,11.27272727,0,11,post-signal target R-multiple sweep using logged entry and stop
